,0,1,2
1293,-1031,19,33
1294,-1029,20,31
1295,-1029,20,30
1296,-1028,23,29
1297,-1030,20,26
1298,-1032,17,30
1299,-1029,17,31
1300,-1032,17,28
1301,-1031,14,31
1302,-1030,18,27
1303,-1032,17,32
1304,-1028,20,30
1305,-1029,18,31
1306,-1033,16,31
1307,-1033,17,31
1308,-1031,17,35
1309,-1032,15,32
1310,-1034,17,31
1311,-1030,16,29
1312,-1033,19,30
1313,-1032,20,21
1314,-1033,20,22
1315,-1030,18,26
1316,-1031,23,27
1317,-1035,22,21
1318,-1032,19,26
1319,-1031,20,24
1320,-1034,18,26
1321,-1034,18,28
1322,-1032,19,31
1323,-1033,16,25
1324,-1036,15,32
1325,-1036,15,35
1326,-1036,17,31
1327,-1037,17,31
1328,-1037,15,30
1329,-1037,15,29
1330,-1041,18,29
1331,-1031,20,30
1332,-1034,23,29
1333,-1029,18,33
1334,-1026,25,36
1335,-1025,18,26
1336,-1026,21,2
1337,-1033,18,-4
1338,-1032,15,21
1339,-1028,13,63
1340,-1030,9,87
1341,-1035,9,67
1342,-1042,6,28
1343,-1046,9,9
1344,-1040,14,20
1345,-1033,14,39
1346,-1026,16,47
1347,-1025,18,38
1348,-1026,18,19
1349,-1028,23,10
1350,-1026,24,16
1351,-1024,20,22
1352,-1020,20,26
1353,-1024,17,27
1354,-1024,18,28
1355,-1029,18,30
1356,-1035,17,39
1357,-1031,20,37
