,0
2350,-46
2351,-48
2352,-53
2353,-43
2354,-38
2355,-43
2356,-36
2357,-34
2358,-46
2359,-51
2360,-48
2361,-55
2362,-53
2363,-58
2364,-68
2365,-60
2366,-51
2367,-58
2368,-65
2369,-72
2370,-92
2371,-104
2372,-102
2373,-92
2374,-80
2375,-75
2376,-72
2377,-75
2378,-65
2379,-53
2380,-55
2381,-68
2382,-72
2383,-75
2384,-80
2385,-80
2386,-85
2387,-99
2388,-104
2389,-104
2390,-107
2391,-119
2392,-143
2393,-148
2394,-141
2395,-141
2396,-141
2397,-136
2398,-141
2399,-145
2400,-148
2401,-155
2402,-158
2403,-155
2404,-155
2405,-160
2406,-153
2407,-131
2408,-121
2409,-114
2410,-97
2411,-90
2412,-104
2413,-124
2414,-141
2415,-160
2416,-155
2417,-145
2418,-155
2419,-150
2420,-131
2421,-119
2422,-38
2423,233
2424,708
2425,1051
2426,630
2427,-350
2428,-666
2429,-228
2430,-75
2431,-214
2432,-150
2433,-87
2434,-138
2435,-128
2436,-85
2437,-80
2438,-72
2439,-48
2440,-41
2441,-46
2442,-38
2443,-17
2444,2
2445,12
2446,4
2447,2
2448,9
2449,14
2450,4
2451,0
2452,-4
2453,-21
2454,-26
2455,-9
2456,-17
2457,-46
2458,-53
2459,-55
2460,-82
2461,-102
2462,-97
2463,-99
2464,-107
2465,-111
2466,-111
2467,-97
2468,-77
2469,-75
2470,-68
2471,-60
2472,-63
2473,-63
2474,-51
2475,-43
2476,-41
2477,-48
2478,-58
2479,-60
2480,-58
2481,-58
2482,-60
2483,-65
2484,-72
2485,-82
2486,-77
2487,-58
2488,-53
2489,-58
2490,-80
2491,-116
2492,-121
2493,-94
2494,-72
2495,-65
2496,-68
2497,-63
2498,-58
2499,-68
2500,-75
2501,-75
2502,-75
2503,-70
2504,-68
2505,-68
2506,-58
2507,-53
2508,-53
2509,12
2510,248
2511,691
2512,1150
2513,1000
2514,4
2515,-674
2516,-350
2517,-65
2518,-216
2519,-216
2520,-107
2521,-138
2522,-167
